text,category,priority
There has been a continuous problem with shelter services affecting daily life. Case 54 as part of current needs,Shelter,MEDIUM
Bridges in area 32 require urgent repair. as part of current needs,Infrastructure,MEDIUM
"In the disaster affected zone, irregular teachers attendance the last 10 days, my family is in trouble learning is affected. We really need help soon because my family is in trouble. for timely assistance",Education,MEDIUM
Sanitation infrastructure is inadequate in zone 252. as lives are at immediate risk,Sanitation,HIGH
Earthquake impact is severe in region 358. following a severe disaster,Disaster,HIGH
Household 195 reports lack of clean drinking water access. following a severe disaster,Water,HIGH
Waste disposal systems are absent in locality 73. for future planning,Sanitation,LOW
Bridges in area 231 require urgent repair. as part of current needs,Infrastructure,MEDIUM
Natural disaster has disrupted life in zone 157. as part of current needs,Disaster,MEDIUM
Residents report ongoing shelter problems making survival difficult. Case 956 due to a critical situation,Shelter,HIGH
Many families are impacted due to lack of proper health resources. Case 375 with people in urgent distress,Health,HIGH
Workers in locality 310 are struggling to find jobs. as lives are at immediate risk,Livelihood,HIGH
Household 23 reports lack of clean drinking water access. as lives are at immediate risk,Water,HIGH
Residents report ongoing health problems making survival difficult. Case 137 with people in urgent distress,Health,HIGH
Residents report ongoing education problems making survival difficult. Case 591 as a general requirement,Education,LOW
Infrastructure development is needed in zone 403. following a severe disaster,Infrastructure,HIGH
Electricity supply is unreliable in region 24. to help the affected community,Infrastructure,MEDIUM
There has been a continuous problem with food services affecting daily life. Case 914 for timely assistance,Food,MEDIUM
Infrastructure development is needed in zone 25. for timely assistance,Infrastructure,MEDIUM
Residents report ongoing shelter problems making survival difficult. Case 852 following a severe disaster,Shelter,HIGH
"kids hungry, meals skipped, affecting everyone here to prepare for upcoming needs",Food,LOW
The situation regarding shelter has worsened significantly in recent days. Case 435 following a severe disaster,Shelter,HIGH
Village 396 requires installation of water supply systems. to prepare for upcoming needs,Water,LOW
Village 103 requires installation of water supply systems. for timely assistance,Water,MEDIUM
Community 344 depends on contaminated water sources. for routine support,Water,LOW
Infrastructure development is needed in zone 262. to support ongoing recovery,Infrastructure,MEDIUM
Residents report ongoing education problems making survival difficult. Case 332 for timely assistance,Education,MEDIUM
Unemployment is rising in community 85. following a severe disaster,Livelihood,HIGH
Community 28 depends on contaminated water sources. as a general requirement,Water,LOW
Village 137 requires installation of water supply systems. to help the affected community,Water,MEDIUM
Residents report ongoing education problems making survival difficult. Case 638 to help the affected community,Education,MEDIUM
Residents in area 181 walk long distances for water collection. for timely assistance,Water,MEDIUM
Public transport is unavailable in locality 75. for future planning,Infrastructure,LOW
"In the urban poor colony, medicines are not available for common illnesses following the flood, school going kids are impacted. We really need help soon because school going kids are impacted. as part of current needs",Health,MEDIUM
"not getting proper meals daily, very difficult situation as a general requirement",Food,LOW
Residents report ongoing shelter problems making survival difficult. Case 113 to support ongoing recovery,Shelter,MEDIUM
Waste disposal systems are absent in locality 316. following a severe disaster,Sanitation,HIGH
Area 167 lacks proper sanitation and toilet facilities. for timely assistance,Sanitation,MEDIUM
The situation regarding education has worsened significantly in recent days. Case 783 to help the affected community,Education,MEDIUM
"Houses need painting and basic maintenance after the heavy rains, the elderly can't cope. as part of current needs",Shelter,MEDIUM
Household 324 reports lack of clean drinking water access. as lives are at immediate risk,Water,HIGH
Community 11 is recovering from cyclone damage. following a severe disaster,Disaster,HIGH
There has been a continuous problem with shelter services affecting daily life. Case 771 as part of current needs,Shelter,MEDIUM
Relief support is needed after disaster in locality 88. with people in urgent distress,Disaster,HIGH
People in this area are facing severe issues related to shelter and need support immediately. Case 842 as lives are at immediate risk,Shelter,HIGH
"In our village, library books are old and few after the heavy rains, the whole neighborhood is struggling. We really need help soon because the whole neighborhood is struggling. for routine support",Education,LOW
Community 51 depends on contaminated water sources. to help the affected community,Water,MEDIUM
